sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
"After dating for a few years, they decided to <CSI> move in together </CSI> before considering marriage, a common trend among British couples.","Moving in together before marriage, known as cohabitation, is common in Britain, especially in urban areas, contributing to the rise in the average age of marriage.",Social Tradition,Rituals,Semi-visible
He addressed <CSI> weight concerns </CSI> as a <CSI> public health matter </CSI> avoiding personal judgment.,Framing weight as public health removes stigma in American health discussions.,Social Etiquette,Communication,Invisible
"She avoided making any <CSI> anti-American comments </CSI>, knowing that many Americans are proud of their country and may take <CSI> offence </CSI> to foreign criticism.","While Americans themselves may openly criticize their country, they are often sensitive to criticism from foreigners, as patriotism is a deeply ingrained cultural value.",Social Etiquette,Communication,Invisible
She <CSI> texted </CSI> her host to let them know she’d be running late for the small dinner gathering.,"For intimate visits, punctuality is highly valued in American culture, and it is polite to notify the host if you’re late.",Social Etiquette,Appropriacy,Semi-visible
Acknowledge mistakes gracefully by saying <CSI> 'these things happen' </CSI> to move forward.,Using phrases like 'these things happen' shows understanding and forgiveness in Western culture.,Social Etiquette,Communication,Invisible
She demonstrates <CSI> self-reliance </CSI> by managing projects independently.,Self-reliance represents core American individualistic workplace expectations.,Workplace Culture,Individualism,Invisible
"When queuing for tickets, he <CSI> patiently waited his turn </CSI>, understanding that disrupting the order or trying to hurry others would be <CSI> frowned upon </CSI>.","Queuing is a deeply ingrained part of British culture, reflecting respect for fairness and patience in public settings. Attempting to disrupt the process is likely to be met with disapproval.",Social Etiquette,Appropriacy,Semi-visible
We're going to watch the <CSI> Fourth of July </CSI> fireworks at the park tonight.,Fourth of July fireworks displays are a patriotic American tradition celebrating Independence Day.,Social Tradition,Rituals,Semi-visible
"At the royal event, everyone wore <CSI> stylish hats </CSI>, adding a touch of elegance to the occasion.","Hats are a traditional accessory in European fashion, often worn at formal events to signify sophistication.",Social Tradition,Customs,Semi-visible
"The shop was closed from 2 to 5 PM for <CSI> siesta </CSI>,a common practice in southern Europe.",Siesta closures are standard business practice in Mediterranean European countries during hot afternoons.,Social Tradition,Rituals,Semi-visible
He scrutinized <CSI> contractual details </CSI> before signing the business agreement.,Scrutinizing contracts reflects American business culture's legal risk management emphasis.,Workplace Culture,Structure,Invisible
She's a <CSI> cougar </CSI> who dates younger men.,"The term 'cougar' is an American cultural stereotype referring to an older woman who dates younger men, often viewed as a negative stereotype.",Cultural Stereotype,Stereotype,Invisible
"Her grandfather lives alone, preferring his <CSI> independence </CSI> over moving in with family, even though they worry about him.","Preferring independence and self-reliance is a cultural ideal, even in old age, though this can lead to social isolation.",Cultural Value,Individualism,Invisible
The neighborhood is organizing a <CSI> yard sale </CSI> fundraiser for the local school.,Yard sales can serve as community fundraising events in American neighborhoods.,Social Tradition,Customs,Semi-visible
The <CSI> National Health Service </CSI> provides healthcare to all British residents.,The NHS represents British universal healthcare institutional infrastructure.,Cultural Reference,Institutions,Visible
The family has a tradition of leaving <CSI> cookies and milk for Santa </CSI> on <CSI> Christmas Eve </CSI>.,"Leaving cookies and milk for Santa is a beloved Western Christmas tradition, especially for children anticipating gifts.",Social Tradition,Rituals,Semi-visible
"The <CSI> patent system </CSI> retains its traditional <CSI> fee structure </CSI>, supporting innovation and creativity.",Europe’s patent system reflects its commitment to protecting intellectual property and fostering innovation.,Cultural Reference,Structure,Invisible
He's the epitome of <CSI> old money </CSI> with his family trust fund and Ivy League connections.,Old money represents generational wealth and established social networks in American upper-class culture.,Cultural Stereotype,Stereotype,Invisible
The comedian's entire routine was built around clever <CSI> puns </CSI> and wordplay.,Puns and wordplay are central to British stand-up comedy and entertainment.,Social Tradition,Communication,Invisible
He showed <CSI> proactive behavior </CSI> by introducing projects demonstrating his <CSI> confidence </CSI>.,Proactive behavior signals leadership potential in American workplace culture.,Workplace Culture,Individualism,Invisible
The <CSI> Renaissance architecture </CSI> combines proportion and ornamental beauty.,Renaissance architecture embodies European artistic periods emphasizing harmony and classical revival.,Cultural Reference,Architecture,Visible
"He politely <CSI> passed </CSI> the mashed potatoes along without taking any, as he didn’t want a portion.","In western dinings, dishes are passed around the table, and guests are free to accept or decline based on preference.",Social Etiquette,Appropriacy,Semi-visible
She <CSI> avoided reaching across </CSI> others' plates during the meal.,Avoiding reaching across maintains personal space boundaries in Western table etiquette.,Social Etiquette,Appropriacy,Semi-visible
"He asked for <CSI> clarification </CSI> during the meeting because in American culture, not asking questions could imply that you understand everything.","In American culture, asking questions is encouraged and indicates engagement, whereas staying silent may be interpreted as comprehension.",Workplace Culture,Communication,Invisible
He immediately said <CSI> 'excuse me' </CSI> after accidentally interrupting the conversation.,Saying 'excuse me' when interrupting shows awareness of social boundaries in Western communication.,Social Etiquette,Appropriacy,Semi-visible
